city_name,population
Abbotsford,138000
Aldergrove,12007
Bella Bella,1019
Blue River,157
Burnaby,232755
Chilliwack,82900
Cortes Island,1035
Cranbrook,20499
Dawson Creek,12978
Dease Lake,335
Fort Nelson,3366
Fort St. John,20260
Grand Forks,89400
 Haney,30825
Kamloops,90280
Kelowna,132084
Langley,25888
Nanaimo,90505
Nelson,10664
New Westminster,233979
North Vancouver,139000
Ocean Falls,50
Putt Meadows,19679
Port Coquitlam,58612
Prince George,76708
Princeton,2828
Quesnel,21413
Richmond,198305
Squamish,18509
Surrey,532030
Terrace,12494
Trail,8049
Valemont,1020
Vancouver,2437000
Vernon,40497
Victoria,364000
West Vancouver,41814
White Rock,20968
Williams Lake,11205
